0	Barfuß am Klavier	[First Line]			> Intro: 	Am&nbsp;F&nbsp;C	
21	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;C&nbsp;&nbsp;&nbsp;&nbsp;F&nbsp;&nbsp;&nbsp;Em&nbsp;&nbsp;F	es ging so nicht	- Verse:	&nbsp;C	Du wolltest alles wissen
22	Barfuß am Klavier	- Verse:	&nbsp;C	Du wolltest alles wissen		&nbsp;&nbsp;&nbsp;F	und das hat mich vertrieben
23	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;F	und das hat mich vertrieben		Em	eigentlich dich
24	Barfuß am Klavier		Em	eigentlich dich		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;F	Du bist nicht länger geblieben
25	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;F	Du bist nicht länger geblieben		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Em	bei mir
26	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Em	bei mir		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;F	und so sitze ich um zu lieben
27	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;F	und so sitze ich um zu lieben		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Em&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dm	lieber Barfuß am Klavier
28	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Em&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dm	lieber Barfuß am Klavier	- Chorus:	Am&nbsp;&nbsp;&nbsp;F&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;C	Ich sitze schon wieder
29	Barfuß am Klavier	- Chorus:	Am&nbsp;&nbsp;&nbsp;F&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;C	Ich sitze schon wieder		Am&nbsp;&nbsp;F&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;C	Barfuß am Klavier
30	Barfuß am Klavier		Am&nbsp;&nbsp;F&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;C	Barfuß am Klavier		Am&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;F&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;C	Ich träume Liebeslieder
